S.N.,Open,High,Low,Close,Change,Per Change (%),Percentage change,Turnover,Date
188,"2,656.04","2,656.04","2,582.71","2,587.45",-69.51,-2.62,-2.62,"2,966,899,791.00",10/18/2021
189,"2,644.41","2,665.42","2,625.13","2,656.96",17.59,0.67,0.67,"1,497,375,371.00",10/17/2021
190,"2,667.59","2,669.51","2,616.75","2,639.37",-23.21,-0.87,-0.87,"3,639,468,093.00",10/11/2021
191,"2,687.19","2,718.53","2,654.75","2,662.58",-18.52,-0.69,-0.69,"4,498,043,581.00",10/10/2021
192,"2,614.74","2,681.10","2,614.74","2,681.10",68.45,2.62,2.62,"4,500,658,142.00",10/6/2021
193,"2,569.79","2,619.85","2,569.79","2,612.65",41.84,1.63,1.63,"2,996,819,683.00",10/5/2021
194,"2,577.36","2,596.31","2,542.11","2,570.81",-6.68,-0.26,-0.26,"3,627,799,935.00",10/4/2021
195,"2,637.36","2,640.41","2,573.31","2,577.49",-55.93,-2.12,-2.12,"4,113,814,246.00",10/3/2021
196,"2,667.45","2,687.02","2,630.58","2,633.42",-32.51,-1.22,-1.22,"3,700,029,507.00",9/30/2021
197,"2,616.78","2,665.93","2,579.82","2,665.93",50.53,1.93,1.93,"5,028,555,092.00",9/29/2021
198,"2,683.60","2,694.97","2,602.38","2,615.40",-70.01,-2.61,-2.61,"5,745,488,179.00",9/28/2021
199,"2,762.60","2,769.10","2,678.36","2,685.41",-73.07,-2.65,-2.65,"5,120,973,096.00",9/27/2021
200,"2,836.36","2,844.09","2,756.51","2,758.48",-61.17,-2.17,-2.17,"6,500,117,780.00",9/26/2021
201,"2,833.52","2,882.32","2,804.53","2,819.65",2.7,0.1,0.10,"7,726,371,029.00",9/23/2021
202,"2,719.91","2,818.86","2,719.91","2,816.95",104.88,3.87,3.87,"6,179,300,158.00",9/22/2021
203,"2,693.42","2,766.41","2,615.49","2,712.07",13.83,0.51,0.51,"7,364,798,652.00",9/21/2021
204,"2,817.98","2,818.49","2,698.24","2,698.24",-114.14,-4.05,-4.06,"8,493,401,009.00",9/20/2021
205,"2,889.21","2,889.21","2,795.51","2,812.38",-76.65,-2.65,-2.65,"9,033,900,623.00",9/16/2021
206,"2,933.23","2,936.77","2,882.10","2,889.03",-40.25,-1.37,-1.37,"5,358,097,251.00",9/15/2021
207,"2,950.37","2,963.65","2,916.77","2,929.28",-18.41,-0.63,-0.62,"5,195,295,443.00",9/14/2021
208,"2,962.81","2,984.28","2,939.96","2,947.69",0.27,0.01,0.01,"9,290,554,155.00",9/13/2021
209,"2,887.50","2,947.42","2,887.50","2,947.42",71.45,2.48,2.48,"9,440,035,244.00",9/12/2021
210,"2,880.54","2,911.82","2,866.05","2,875.97",-0.62,-0.02,-0.02,"7,050,770,070.00",9/9/2021
211,"2,940.91","2,940.91","2,874.07","2,876.59",-60.01,-2.04,-2.04,"6,646,623,427.00",9/8/2021
212,"2,999.62","3,001.10","2,913.01","2,936.60",-44.18,-1.48,-1.48,"7,495,812,161.00",9/7/2021
213,"2,816.93","2,980.79","2,805.00","2,980.78",162.06,5.74,5.75,"9,826,222,807.00",9/6/2021
214,"2,928.80","2,928.80","2,779.33","2,818.72",-108.17,-3.7,-3.70,"11,240,391,045.00",9/5/2021
215,"2,976.17","2,993.40","2,916.26","2,926.89",-50.13,-1.68,-1.68,"9,505,970,822.00",9/2/2021
216,"2,977.28","3,018.64","2,961.12","2,977.02",1.18,0.04,0.04,"9,351,799,655.00",9/1/2021
217,"3,047.26","3,047.26","2,970.51","2,975.84",-69.02,-2.27,-2.27,"13,259,696,107.00",8/31/2021
218,"3,105.74","3,115.80","3,039.03","3,044.86",-49.19,-1.59,-1.59,"15,651,244,505.00",8/29/2021
219,"3,085.04","3,107.57","3,069.88","3,094.05",17.6,0.57,0.57,"13,421,974,792.00",8/26/2021
220,"3,126.02","3,126.02","3,068.90","3,076.45",-48.42,-1.55,-1.55,"12,092,103,504.00",8/25/2021
221,"3,186.47","3,186.47","3,122.31","3,124.87",-55.91,-1.76,-1.76,"16,124,468,060.00",8/24/2021
222,"3,208.53","3,226.89","3,178.58","3,180.78",-17.82,-0.57,-0.56,"20,499,210,767.00",8/19/2021
223,"3,172.29","3,220.33","3,154.10","3,198.60",38.29,1.21,1.21,"21,313,489,269.00",8/18/2021
224,"3,165.69","3,176.31","3,154.98","3,160.31",0.26,0.01,0.01,"18,204,939,237.00",8/17/2021
225,"3,165.09","3,169.18","3,138.10","3,160.05",6.02,0.18,0.19,"15,930,897,938.00",8/16/2021
226,"3,170.65","3,187.14","3,105.32","3,154.03",-24.97,-0.78,-0.79,"21,647,600,655.00",8/15/2021
227,"3,172.75","3,188.93","3,167.79","3,179.00",16.41,0.52,0.52,"17,513,276,115.00",8/12/2021
228,"3,172.54","3,197.00","3,158.73","3,162.59",1.15,0.03,0.04,"15,455,941,754.00",8/11/2021
229,"3,120.29","3,164.34","3,114.77","3,161.44",51.78,1.67,1.67,"17,846,147,279.00",8/10/2021
230,"3,113.95","3,121.72","3,098.90","3,109.66",1.54,0.05,0.05,"14,137,338,881.00",8/9/2021
231,"3,117.02","3,121.14","3,099.18","3,108.12",0.67,0.02,0.02,"14,308,136,887.00",8/8/2021
232,"3,130.54","3,136.79","3,102.08","3,107.45",-15.79,-0.51,-0.51,"14,316,249,965.00",8/5/2021
233,"3,126.99","3,140.38","3,121.13","3,123.24",12.15,0.39,0.39,"15,595,794,271.00",8/4/2021
234,"3,094.24","3,111.09","3,092.61","3,111.09",26.02,0.84,0.84,"11,529,217,775.00",8/3/2021
235,"3,087.91","3,100.80","3,079.48","3,085.07",4.02,0.13,0.13,"10,983,599,094.00",8/2/2021
236,"3,088.44","3,097.67","3,075.90","3,081.05",1.22,0.04,0.04,"12,103,871,862.00",8/1/2021
237,"3,103.53","3,107.00","3,076.75","3,079.83",-15.11,-0.49,-0.49,"10,905,830,064.00",7/29/2021
238,"3,088.45","3,111.28","3,076.04","3,094.94",15.27,0.5,0.50,"13,291,954,535.00",7/28/2021
239,"3,030.51","3,085.80","3,002.10","3,079.67",29.25,0.96,0.96,"15,170,651,643.00",7/27/2021
240,"3,072.92","3,075.51","3,041.94","3,050.42",-8.21,-0.27,-0.27,"14,139,785,431.00",7/26/2021
241,"3,017.56","3,058.63","3,017.56","3,058.63",54.32,1.81,1.81,"14,232,417,472.00",7/25/2021
242,"2,990.90","3,018.27","2,987.45","3,004.31",18.74,0.63,0.63,"11,114,121,616.00",7/22/2021
243,"3,005.43","3,005.43","2,975.71","2,985.57",-9.01,-0.3,-0.30,"7,897,594,269.00",7/20/2021
244,"3,003.47","3,031.87","2,981.91","2,994.58",13.97,0.47,0.47,"11,813,754,607.00",7/19/2021
245,"2,892.47","2,980.61","2,892.47","2,980.61",97.23,3.37,3.37,"11,638,126,493.00",7/18/2021
246,"2,885.40","2,890.20","2,877.32","2,883.38",11.33,0.39,0.39,"8,143,614,302.00",7/15/2021
247,"2,882.06","2,883.19","2,857.87","2,872.05",1.02,0.04,0.04,"5,654,576,205.00",7/14/2021
248,"2,867.15","2,884.09","2,847.34","2,871.03",16.27,0.57,0.57,"5,546,356,224.00",7/13/2021
249,"2,915.56","2,929.70","2,843.17","2,854.76",-45.06,-1.55,-1.55,"9,980,026,527.00",7/12/2021
250,"2,845.43","2,899.82","2,845.43","2,899.82",74.72,2.64,2.64,"8,061,382,496.00",7/11/2021
251,"2,815.28","2,832.54","2,793.43","2,825.10",23.97,0.86,0.86,"4,815,520,294.00",7/8/2021
252,"2,815.49","2,825.74","2,794.38","2,801.13",-16.97,-0.6,-0.60,"4,585,861,976.00",7/7/2021
253,"2,829.99","2,834.77","2,813.39","2,818.10",-4.63,-0.19,-0.16,"4,224,018,255.00",7/6/2021
254,"2,845.50","2,846.70","2,814.82","2,822.73",-11.78,-0.42,-0.42,"4,582,212,579.00",7/5/2021
255,"2,852.24","2,857.63","2,832.56","2,834.51",-8.49,-0.3,-0.30,"5,053,538,257.00",7/4/2021
256,"2,833.52","2,867.02","2,833.52","2,843.00",19.13,0.68,0.68,"6,707,775,484.00",7/1/2021
257,"2,835.66","2,844.02","2,782.21","2,823.87",-4.13,-0.15,-0.15,"5,838,551,435.00",6/30/2021
258,"2,880.33","2,888.39","2,823.74","2,828.00",-47.49,-1.65,-1.65,"6,726,361,869.00",6/29/2021
259,"2,898.42","2,900.89","2,861.58","2,875.49",5.11,0.18,0.18,"7,725,512,716.00",6/28/2021
260,"2,856.05","2,882.62","2,835.51","2,870.38",27.38,0.96,0.96,"7,167,432,728.00",6/27/2021
261,"2,871.65","2,872.51","2,833.53","2,843.00",-19.18,-0.59,-0.67,"7,033,603,740.00",6/24/2021
262,"2,939.04","2,939.04","2,857.17","2,862.18",-51.66,-1.77,-1.77,"8,362,671,681.00",6/23/2021
263,"2,844.70","2,913.84","2,825.03","2,913.84",79.44,2.8,2.80,"10,286,269,957.00",6/22/2021
264,"2,924.07","2,924.07","2,828.73","2,834.40",-70.74,-2.45,-2.43,"11,845,454,604.00",6/21/2021
265,"2,975.25","2,978.26","2,881.01","2,905.14",-63.29,-2.13,-2.13,"11,819,428,289.00",6/20/2021
266,"2,982.87","2,989.53","2,945.42","2,968.43",-1.26,-0.04,-0.04,"10,904,958,935.00",6/17/2021
267,"2,989.55","3,030.43","2,943.95","2,969.69",-52.41,-1.73,-1.73,"15,484,479,319.00",6/16/2021
268,"3,061.81","3,063.06","3,013.77","3,022.10",-3.72,-0.12,-0.12,"16,528,749,739.00",6/15/2021
269,"3,009.46","3,051.02","3,009.46","3,025.82",42.72,1.43,1.43,"18,884,031,519.00",6/14/2021
270,"2,965.77","2,983.10","2,957.33","2,983.10",38.32,1.3,1.30,"19,550,166,636.00",6/13/2021
271,"2,968.09","2,969.35","2,926.15","2,944.78",-1.8,-0.06,-0.06,"16,100,412,436.00",6/10/2021
272,"2,995.08","3,005.00","2,934.98","2,946.58",-13.56,-0.46,-0.46,"16,997,092,703.00",6/9/2021
273,"2,931.17","2,960.14","2,926.51","2,960.14",53.44,1.84,1.84,"16,951,299,040.00",6/8/2021
274,"2,928.09","2,932.39","2,892.98","2,906.70",-0.19,-0.01,-0.01,"15,818,659,063.00",6/7/2021
275,"2,884.07","2,919.10","2,884.74","2,906.89",50.22,1.75,1.76,"17,271,787,525.00",6/6/2021
276,"2,833.84","2,875.04","2,833.84","2,856.67",29.55,1.05,1.05,"16,907,020,286.00",6/3/2021
277,"2,793.22","2,827.12","2,771.42","2,827.12",55.97,2.01,2.02,"11,351,815,356.00",6/2/2021
278,"2,790.71","2,799.07","2,751.44","2,771.15",-11.53,-0.42,-0.41,"8,598,160,117.00",6/1/2021
279,"2,842.28","2,849.26","2,781.69","2,782.68",-45.25,-1.6,-1.60,"13,909,113,291.00",5/31/2021
280,"2,836.11","2,854.48","2,815.86","2,827.93",12.54,0.45,0.45,"17,028,432,245.00",5/30/2021
281,"2,784.59","2,835.39","2,763.19","2,815.39",-1.17,-0.04,-0.04,"14,768,808,492.00",5/27/2021
282,"2,828.06","2,836.10","2,804.44","2,816.56",-6.5,-0.23,-0.23,"11,133,398,108.00",5/25/2021
283,"2,840.21","2,850.55","2,807.95","2,823.06",3.06,0.11,0.11,"13,175,353,188.00",5/24/2021
284,"2,768.86","2,820.00","2,738.70","2,820.00",32.82,1.18,1.18,"11,695,034,728.00",5/23/2021
285,"2,807.52","2,807.52","2,776.17","2,787.18",6.37,0.23,0.23,"9,305,222,004.00",5/20/2021
286,"2,816.26","2,821.86","2,769.72","2,780.81",-13.08,-0.47,-0.47,"11,958,097,411.00",5/19/2021
287,"2,780.70","2,794.28","2,767.25","2,793.89",34.68,1.26,1.26,"11,359,360,092.00",5/18/2021
288,"2,748.83","2,770.86","2,748.04","2,759.21",20.92,0.76,0.76,"9,576,361,139.00",5/17/2021
289,"2,693.90","2,738.29","2,693.90","2,738.29",54.28,2.02,2.02,"10,026,628,116.00",5/16/2021
290,"2,701.82","2,701.82","2,679.18","2,684.01",10.13,0.38,0.38,"7,126,885,280.00",5/13/2021
291,"2,685.40","2,687.34","2,664.32","2,673.88",0.56,0.02,0.02,"5,326,052,801.00",5/12/2021
292,"2,647.48","2,680.62","2,645.77","2,673.32",27.47,1.04,1.04,"5,810,673,071.00",5/11/2021
293,"2,613.17","2,646.76","2,608.13","2,645.85",27.29,1.05,1.04,"4,203,832,789.00",5/10/2021
294,"2,652.58","2,652.58","2,613.78","2,618.56",-18.57,-0.7,-0.70,"6,148,966,772.00",5/9/2021
295,"2,658.69","2,658.69","2,626.38","2,637.13",-12.47,-0.47,-0.47,"6,810,091,453.00",5/6/2021
296,"2,675.95","2,675.95","2,648.74","2,649.60",-5.09,-0.19,-0.19,"6,216,814,313.00",5/5/2021
297,"2,652.27","2,663.39","2,640.63","2,654.69",1.94,0.07,0.07,"6,052,236,811.00",5/4/2021
298,"2,676.45","2,692.89","2,645.80","2,652.75",-12.36,-0.46,-0.46,"7,529,290,146.00",5/3/2021
299,"2,627.81","2,665.10","2,611.03","2,665.11",54.01,2.07,2.07,"7,360,800,500.00",5/2/2021
300,"2,601.21","2,611.37","2,583.18","2,611.10",25.82,1,1.00,"4,357,019,249.00",4/29/2021
301,"2,606.56","2,622.43","2,564.73","2,585.28",-13.79,-0.53,-0.53,"3,990,431,236.00",4/28/2021
302,"2,506.52","2,599.08","2,506.52","2,599.07",92.46,3.69,3.69,"5,109,096,957.00",4/27/2021
303,"2,571.49","2,579.18","2,501.38","2,506.61",-65.61,-2.55,-2.55,"6,590,928,202.00",4/26/2021
304,"2,664.69","2,664.70","2,564.43","2,572.22",-75.78,-2.86,-2.86,"7,284,194,901.00",4/25/2021
305,"2,647.11","2,650.14","2,609.75","2,648.00",15.8,0.6,0.60,"5,915,139,888.00",4/22/2021
306,"2,674.82","2,674.82","2,625.92","2,632.20",-32.41,-1.22,-1.22,"5,772,251,203.00",4/21/2021
307,"2,673.24","2,684.55","2,646.43","2,664.61",2.68,0.1,0.10,"5,538,617,640.00",4/20/2021
308,"2,715.83","2,716.18","2,656.63","2,661.93",-37.58,-1.39,-1.39,"6,766,801,224.00",4/19/2021
309,"2,759.89","2,759.89","2,697.88","2,699.51",-35.95,-1.31,-1.31,"8,801,803,215.00",4/18/2021
310,"2,735.40","2,755.00","2,732.41","2,735.46",20.67,0.76,0.76,"8,636,668,659.00",4/15/2021
311,"2,698.07","2,714.79","2,688.48","2,714.79",23.24,0.86,0.86,"7,143,151,000.00",4/13/2021
312,"2,681.60","2,693.70","2,671.89","2,691.55",17.2,0.64,0.64,"7,610,828,050.00",4/12/2021
313,"2,690.12","2,690.12","2,672.48","2,674.35",2.74,0.1,0.10,"6,556,616,680.00",4/8/2021
314,"2,694.54","2,694.54","2,668.34","2,671.61",-2.85,-0.11,-0.11,"7,266,972,570.00",4/7/2021
315,"2,675.57","2,675.57","2,642.17","2,674.46",15.72,0.59,0.59,"7,477,795,738.00",4/6/2021
316,"2,679.38","2,681.76","2,639.92","2,658.74",1.13,0.04,0.04,"7,296,760,156.00",4/5/2021
317,"2,658.30","2,658.55","2,646.59","2,657.61",25.72,0.98,0.98,"9,006,858,558.00",4/4/2021
318,"2,645.49","2,645.49","2,615.43","2,631.89",12.86,0.49,0.49,"7,250,924,124.00",4/1/2021
319,"2,596.66","2,619.02","2,592.99","2,619.03",43.36,1.68,1.68,"6,166,957,318.00",3/31/2021
320,"2,545.54","2,575.95","2,545.54","2,575.67",32.15,1.26,1.26,"6,185,679,498.00",3/30/2021
321,"2,558.23","2,562.03","2,537.82","2,543.52",-5.45,-0.21,-0.21,"4,410,345,030.00",3/29/2021
322,"2,584.79","2,594.25","2,544.15","2,548.97",-21.28,-0.83,-0.83,"6,500,806,040.00",3/25/2021
323,"2,550.07","2,570.26","2,550.07","2,570.25",41.3,1.63,1.63,"6,674,423,941.00",3/24/2021
324,"2,524.43","2,531.04","2,496.38","2,528.95",14.56,0.58,0.58,"5,141,897,169.00",3/23/2021
325,"2,564.07","2,568.07","2,509.38","2,514.39",-24.07,-0.95,-0.95,"5,351,353,625.00",3/22/2021
326,"2,494.48","2,538.46","2,492.90","2,538.46",63.37,2.56,2.56,"5,919,824,569.00",3/21/2021
327,"2,448.72","2,476.36","2,441.65","2,475.09",42.95,1.77,1.77,"4,661,792,187.00",3/18/2021
328,"2,399.21","2,432.14","2,390.42","2,432.14",40.4,1.69,1.69,"3,374,552,178.00",3/17/2021
329,"2,400.04","2,416.84","2,369.66","2,391.74",2.55,0.11,0.11,"3,375,699,339.00",3/16/2021
330,"2,418.51","2,432.17","2,380.16","2,389.19",-18.06,-0.75,-0.75,"4,248,424,066.00",3/15/2021
331,"2,466.26","2,467.20","2,397.52","2,407.25",-51.23,-2.08,-2.08,"4,952,722,195.00",3/14/2021
332,"2,476.93","2,477.71","2,446.33","2,458.48",-3.4,-0.14,-0.14,"4,100,406,337.00",3/10/2021
333,"2,494.05","2,494.05","2,453.53","2,461.88",-23.21,-0.93,-0.93,"4,752,708,147.00",3/9/2021
334,"2,519.96","2,525.30","2,473.57","2,485.09",-21.59,-0.86,-0.86,"5,005,466,480.00",3/7/2021
335,"2,425.20","2,506.68","2,427.25","2,506.68",90.68,3.75,3.75,"6,058,104,317.00",3/4/2021
336,"2,449.23","2,428.88","2,391.40","2,416.00",-39.33,-1.6,-1.60,"6,254,809,442.00",3/3/2021
337,"2,523.45","2,529.64","2,437.25","2,455.33",-59.7,-2.37,-2.37,"6,119,638,669.00",3/2/2021
338,"2,488.33","2,524.40","2,442.60","2,515.03",40.64,1.64,1.64,"5,692,316,831.00",3/1/2021
339,"2,557.79","2,559.43","2,474.39","2,474.39",-79.74,-3.12,-3.12,"8,355,289,814.00",2/28/2021
340,"2,622.70","2,622.77","2,547.84","2,554.13",-44.94,-1.73,-1.73,"6,098,188,414.00",2/25/2021
341,"2,600.32","2,620.45","2,498.58","2,599.07",12.56,0.49,0.49,"6,701,872,439.00",2/24/2021
342,"2,627.33","2,627.33","2,519.41","2,586.51",-21.16,-0.81,-0.81,"8,561,539,426.00",2/23/2021
343,"2,665.86","2,673.85","2,603.86","2,607.67",-32.67,-1.24,-1.24,"8,406,310,671.00",2/22/2021
344,"2,667.27","2,667.59","2,619.58","2,640.34",3.66,0.14,0.14,"8,834,603,967.00",2/21/2021
345,"2,634.47","2,642.47","2,619.17","2,636.68",25.23,0.97,0.97,"8,762,146,785.00",2/18/2021
346,"2,619.80","2,623.64","2,596.19","2,611.45",9.94,0.38,0.38,"8,035,510,844.00",2/17/2021
347,"2,615.36","2,631.37","2,584.14","2,601.51",15.5,0.6,0.60,"10,035,454,955.00",2/16/2021
348,"2,517.46","2,586.01","2,538.22","2,586.01",92.42,3.71,3.71,"10,384,197,669.00",2/15/2021
349,"2,536.47","2,536.47","2,482.24","2,493.59",-33.33,-1.32,-1.32,"6,927,668,931.00",2/14/2021
350,"2,552.33","2,565.13","2,524.81","2,526.92",-16.11,-0.63,-0.63,"8,411,732,003.00",2/11/2021
351,"2,544.80","2,547.76","2,511.03","2,543.03",8.66,0.34,0.34,"7,649,411,398.00",2/10/2021
352,"2,562.43","2,585.15","2,524.44","2,534.37",-27.1,-1.06,-1.06,"8,146,269,193.00",2/9/2021
353,"2,553.78","2,563.29","2,538.83","2,561.47",37.47,1.48,1.48,"10,619,163,869.00",2/8/2021
354,"2,486.79","2,524.00","2,486.79","2,524.00",48.74,1.97,1.97,"10,441,951,304.00",2/7/2021
355,"2,479.60","2,481.59","2,443.68","2,475.26",8.34,0.34,0.34,"7,615,071,093.00",2/4/2021
356,"2,490.53","2,519.85","2,457.99","2,466.92",-6.81,-0.28,-0.28,"9,531,716,496.00",2/3/2021
357,"2,434.48","2,473.73","2,429.90","2,473.73",65.49,2.72,2.72,"8,593,472,987.00",2/2/2021
358,"2,372.04","2,413.18","2,372.04","2,408.24",37.7,1.59,1.59,"6,972,936,529.00",2/1/2021
359,"2,425.53","2,425.53","2,366.46","2,370.54",-54.75,-2.26,-2.26,"8,973,206,450.00",1/31/2021
360,"2,460.83","2,460.83","2,420.64","2,425.29",-16.56,-0.68,-0.68,"9,898,456,128.00",1/28/2021
361,"2,433.74","2,449.42","2,416.62","2,441.85",18.76,0.77,0.77,"8,006,238,770.00",1/27/2021
362,"2,461.42","2,462.28","2,419.89","2,423.09",-17.78,-0.73,-0.73,"8,279,701,077.00",1/26/2021
363,"2,447.01","2,456.22","2,408.87","2,440.87",16.03,0.66,0.66,"8,903,538,731.00",1/25/2021
364,"2,396.74","2,429.11","2,396.74","2,424.84",50.2,2.11,2.11,"9,376,053,220.00",1/24/2021
365,"2,372.86","2,376.13","2,354.70","2,374.64",31.88,1.36,1.36,"7,798,528,433.00",1/21/2021
366,"2,361.52","2,362.99","2,322.72","2,342.76",15.86,0.68,0.68,"6,210,966,026.00",1/20/2021
367,"2,361.99","2,362.86","2,304.98","2,326.90",-5.41,-0.24,-0.23,"7,467,439,848.00",1/19/2021
368,"2,333.87","2,340.57","2,319.58","2,332.31",17.31,0.75,0.75,"6,314,664,167.00",1/18/2021
369,"2,299.33","2,316.80","2,297.50","2,315.00",28.46,1.24,1.24,"6,374,267,782.00",1/17/2021
370,"2,279.04","2,296.17","2,277.26","2,286.54",18.81,0.83,0.83,"5,914,389,261.00",1/13/2021
371,"2,243.16","2,267.73","2,233.61","2,267.73",28.31,1.26,1.26,"4,982,391,897.00",1/12/2021
372,"2,264.27","2,266.44","2,229.13","2,239.42",3.7,0.17,0.17,"5,524,832,993.00",1/11/2021
373,"2,201.38","2,238.24","2,201.38","2,235.72",41.24,1.88,1.88,"6,326,646,806.00",1/10/2021
374,"2,181.27","2,204.97","2,179.09","2,194.48",15.91,0.73,0.73,"5,874,708,279.00",1/7/2021
375,"2,170.82","2,185.20","2,170.31","2,178.57",13.08,0.6,0.60,"4,425,472,339.00",1/6/2021
376,"2,167.82","2,182.39","2,149.74","2,165.49",-3.55,-0.16,-0.16,"4,566,381,178.00",1/5/2021
377,"2,207.05","2,216.44","2,154.00","2,169.04",-6.35,-0.29,-0.29,"5,961,733,122.00",1/4/2021
378,"2,104.85","2,175.39","2,104.85","2,175.39",88.12,4.22,4.22,"6,344,017,889.00",1/3/2021
379,"2,079.37","2,112.59","2,073.80","2,087.27",25.21,1.22,1.22,"5,703,469,837.00",12/31/2020
380,"2,023.59","2,062.06","2,023.40","2,062.06",49.17,2.44,2.44,"4,446,222,579.00",12/30/2020
381,"2,016.26","2,031.47","2,009.38","2,012.89",5.6,0.28,0.28,"4,092,227,802.00",12/29/2020
382,"1,998.81","2,013.51","1,981.50","2,007.29",8.64,0.43,0.43,"3,850,320,045.00",12/28/2020
383,"2,047.12","2,047.19","1,994.80","1,998.65",-39.98,-1.96,-1.96,"4,623,452,312.00",12/27/2020
384,"2,091.59","2,091.59","2,025.65","2,038.63",-29.82,-1.44,-1.44,"5,369,046,322.00",12/24/2020
385,"2,094.27","2,127.22","2,063.13","2,068.45",7.04,0.34,0.34,"6,862,445,215.00",12/23/2020
386,"1,987.47","2,061.41","1,987.47","2,061.41",95.45,4.86,4.86,"6,740,744,432.00",12/22/2020
387,"1,919.05","1,977.42","1,874.07","1,965.96",30.33,1.57,1.57,"6,698,874,354.00",12/21/2020
388,"2,046.57","2,046.57","1,935.40","1,935.63",-96.88,-4.77,-4.77,"8,612,857,317.00",12/20/2020
389,"2,058.72","2,059.80","2,025.19","2,032.51",-22.71,-1.1,-1.10,"6,769,890,815.00",12/17/2020
390,"2,097.20","2,097.20","2,041.85","2,055.22",-6.19,-0.3,-0.30,"5,144,675,578.00",12/16/2020
391,"2,085.56","2,100.96","2,050.90","2,061.41",-5.76,-0.28,-0.28,"6,069,331,687.00",12/15/2020
392,"2,022.72","2,069.06","2,022.72","2,067.17",56.72,2.82,2.82,"7,204,136,923.00",12/14/2020
393,"1,973.75","2,010.45","1,967.44","2,010.45",46.43,2.36,2.36,"4,899,484,131.00",12/13/2020
394,"1,954.60","1,974.12","1,938.92","1,964.02",8.27,0.42,0.42,"4,146,321,050.00",12/10/2020
395,"2,006.40","2,009.81","1,948.98","1,955.75",-39.6,-1.98,-1.98,"4,745,649,292.00",12/9/2020
396,"2,033.97","2,047.35","1,982.07","1,995.35",-9.04,-0.45,-0.45,"5,719,436,384.00",12/8/2020
397,"1,929.46","2,004.39","1,914.42","2,004.39",72.28,3.74,3.74,"6,667,956,831.00",12/7/2020
398,"2,051.51","2,051.51","1,932.11","1,932.11",-123.34,-6,-6.00,"7,209,180,213.00",12/6/2020
399,"2,090.79","2,118.41","2,040.99","2,055.45",-15.57,-0.75,-0.75,"8,026,023,798.00",12/3/2020
400,"2,016.82","2,077.70","2,016.82","2,071.02",70.62,3.53,3.53,"7,463,482,972.00",12/2/2020
401,"2,009.46","2,022.25","1,966.18","2,000.40",3.35,0.17,0.17,"7,404,154,007.00",12/1/2020
402,"2,000.00","2,028.45","1,971.24","1,997.05",28.78,1.46,1.46,"8,867,714,682.00",11/30/2020
403,"1,912.11","1,971.42","1,912.11","1,968.27",75.03,3.96,3.96,"9,227,348,348.00",11/29/2020
404,"1,894.78","1,926.91","1,879.00","1,893.24",18.43,0.98,0.98,"7,613,030,091.00",11/26/2020
405,"1,820.87","1,874.81","1,820.87","1,874.81",64.7,3.57,3.57,"6,817,774,994.00",11/25/2020
406,"1,790.19","1,813.86","1,786.71","1,810.11",29.68,1.67,1.67,"5,442,950,189.00",11/24/2020
407,"1,789.35","1,792.41","1,772.11","1,780.43",-2.38,-0.13,-0.13,"4,762,704,611.00",11/23/2020
408,"1,791.21","1,811.63","1,761.75","1,782.81",4.69,0.26,0.26,"6,878,787,665.00",11/22/2020
409,"1,750.42","1,779.21","1,750.42","1,778.12",36.31,2.08,2.08,"6,116,730,071.00",11/19/2020
410,"1,714.86","1,741.81","1,708.87","1,741.81",23.32,1.36,1.36,"4,791,041,649.00",11/18/2020
411,"1,713.71","1,722.32","1,702.70","1,718.49",10.82,0.63,0.63,"4,256,475,891.00",11/12/2020
412,"1,681.82","1,707.67","1,681.82","1,707.67",28.88,1.72,1.72,"4,099,604,742.00",11/11/2020
413,"1,660.37","1,678.79","1,659.18","1,678.79",25.99,1.57,1.57,"4,096,190,256.00",11/10/2020
414,"1,648.75","1,661.32","1,648.75","1,652.80",4.22,0.26,0.26,"3,699,879,726.00",11/9/2020
415,"1,643.29","1,648.58","1,637.80","1,648.58",12.41,0.76,0.76,"3,526,777,261.00",11/8/2020
416,"1,644.94","1,645.08","1,634.38","1,636.17",-4.47,-0.27,-0.27,"2,842,469,177.00",11/5/2020
417,"1,645.53","1,645.70","1,638.69","1,640.64",-2.39,-0.15,-0.15,"1,757,423,745.00",11/4/2020
418,"1,636.20","1,644.61","1,635.15","1,643.03",5.4,0.33,0.33,"2,237,964,572.00",11/3/2020
419,"1,644.01","1,646.90","1,635.64","1,637.63",-3.32,-0.2,-0.20,"2,453,954,688.00",11/2/2020
420,"1,654.15","1,654.15","1,634.63","1,640.95",-4.72,-0.29,-0.29,"2,930,939,007.00",11/1/2020
421,"1,661.64","1,663.41","1,640.48","1,645.67",-1.78,-0.11,-0.11,"3,037,694,845.00",10/29/2020
422,"1,612.50","1,647.45","1,612.37","1,647.45",41.2,2.57,2.56,"2,725,994,069.00",10/28/2020
423,"1,609.11","1,609.52","1,596.22","1,606.25",8.54,0.53,0.53,"1,994,543,919.00",10/22/2020
424,"1,591.04","1,597.71","1,588.78","1,597.71",14.11,0.88,0.89,"1,633,246,148.00",10/21/2020
425,"1,576.62","1,583.60","1,573.06","1,583.60",13.22,0.84,0.84,"1,271,829,990.00",10/20/2020
426,"1,556.85","1,570.38","1,555.46","1,570.38",13.58,0.87,0.87,"954,656,107.00",10/19/2020
